paper,plot_letter,resin,a,b
3,c,SP Sepharose XL,279158562670648.5,-5.4752591059317695
3,d,Toyopearl SP 650c,65502.86219547259,-3.094859216770976
3,d,Poros 50 HS,5567668.242869132,-3.1822017408164784
3,d,Toyopearl SP 550c,20830772.755973697,-3.5867445523050527
3,d,SP Sepharose BB,18734556.98455258,-3.8536682199558676
3,d,Source 30S,302792.8990193807,-2.935726058431981
3,d,TSKGel SP-5PW-HR20,8072309.188827341,-3.873795442030169
4,a,SP Toyopearl 650m,3097689234.0418773,-5.09494140461816
4,a,Heparin Sepharose FF,11792657.462736672,-3.196744438908693
4,a,S Ceramic HyperD 20,4538.089443011819,-2.065444401734596
4,a,Heparin Toyopearl 650m,5.614782645280756e+17,-7.5849421270825035
4,a,CM Sepharose FF,6.456561273198702e+16,-8.191530295281632
4,a,Heparin Ceramic HyperD M,592826460348.1896,-4.967573191343546
4,a,CM Ceramic HyperD F,8.820380190015042e+18,-8.34622095938174
4,b,SP Toyopearl 650m,1360413885819.2734,-4.827483552992511
4,b,SP Sepharose FF,329909760153.12445,-4.3285064913906925
4,b,Heparin Sepharose FF,814917.8625975273,-2.5661404429121615
4,b,S Ceramic HyperD 20,245035735704.66602,-4.222875813513058
4,b,Heparin Toyopearl 650m,104576758.95326343,-3.2537668033297056
4,b,CM Sepharose FF,2.2059764746124176e+17,-7.037145968324389
4,b,Heparin Ceramic HyperD M,138265868.44722047,-3.292616378048999
4,b,CM Ceramic HyperD F,2179878749678900.8,-5.554081387811743
4,b,CM Toyopearl 650m,1198767233086.3176,-4.6824492604785615
4,c,SP Toyopearl 650m,3.4434328994738044e+16,-6.493814143548936
4,c,SP Sepharose FF,201365070610610.3,-5.471821546148673
4,c,Heparin Sepharose FF,10536547.879273923,-2.7107021356705188
4,c,S Ceramic HyperD 20,5188802186479488.0,-5.751735310337058
4,c,Heparin Toyopearl 650m,6107502274338.441,-5.03047946938079
4,c,CM Sepharose FF,1410104964415710.2,-5.898464046061135
4,c,Heparin Ceramic HyperD M,3497300477533318.0,-5.915755909086691
4,c,CM Ceramic HyperD F,1.8097903877239815e+26,-9.648375554012578
4,d,SP Sepharose FF,706999.4191776593,-2.915225936829406
4,d,Heparin Sepharose FF,791.569138871887,-1.757267252160461
4,d,S Ceramic HyperD 20,2348884715036.9414,-6.648467457934501
4,d,Heparin Toyopearl 650m,93685.95369151536,-2.7111001669008408
4,d,SP Toyopearl 650m,1608.0742335493212,-1.9600577593525932
5,a,CM Hyper Z,3.0245429831455365e+18,-7.0810464649414175
5,a,Fractogel EMD SO3-,6.628293155201939e+28,-12.4024109707421
5,a,Matrex Cellufine C-500,3058733905142292.5,-6.250853866479444
5,a,MacroPrep CM,37915543.360889964,-3.917263519168879
5,a,MacroPrep High S,868612669677.1476,-5.184000996329812
5,a,Fractogel EMD COO- (M),163956708601001.44,-5.67752433549678
5,a,MacroPrep 25S,7.761101976773376e+17,-7.761498233750381
5,a,Fractogel EMD SE Hicap (M),2.8126269828924506e+23,-10.349447723812512
5,b,CM Hyper Z,10848919165044.27,-4.98208094375175
5,b,Fractogel EMD SO3-,965971105320.915,-4.453278875390275
5,b,Matrex Cellufine C-500,2865875293.407749,-3.8434280447658353
5,b,MacroPrep CM,1741991.1040851753,-2.2129074111755718
5,b,MacroPrep High S,217187380051554.5,-5.069727689866375
5,b,Fractogel EMD COO- (M),65184925645.33432,-4.445972378282827
5,b,MacroPrep 25S,11596101755629.986,-4.543120887854329
5,b,Fractogel EMD SE Hicap (M),8279644631167.471,-5.158274332234881
5,c,CM Hyper Z,8.763016514725096e+16,-6.519754022024693
5,c,Fractogel EMD SO3-,107743808825851.64,-5.208724767897963
5,c,Matrex Cellufine C-500,29123101565.553593,-4.192797352570854
5,c,MacroPrep CM,5.453358722056447e+23,-7.781667439642064
5,c,MacroPrep High S,2367870515024655.0,-5.14167460867058
5,c,Fractogel EMD COO- (M),3070713815590262.5,-6.214780950007916
5,c,MacroPrep 25S,4.296814213032975e+17,-5.863606983416773
5,c,Fractogel EMD SE Hicap (M),8170711394380993.0,-6.37060649257817
6,a,Poros 50 D,1.352120027855658e+24,-10.942614408914945
6,a,DEAE Sepharose FF,4.025024850049159e+22,-10.251727894734138
6,a,MacroPrep DEAE Support,7349015531.085296,-4.029575959470384
