resin,protein,tis_M,kprime,ln(kprime),ln(tis_mM)
TSK-Gel Q-5PW-HR,lipolase,0.15578750584203147,0.594,-0.5208759596194922,5.0484929366524955
TSK-Gel Q-5PW-HR,lipolase,0.17472742521666199,0.34343,-1.0687719726572267,5.163227189459521
TSK-Gel Q-5PW-HR,lipolase,0.20052135552436334,0.1758,-1.7384082937310603,5.300920752418151
Express-Ion Q,myoglobin,0.05486366379546826,0.7856,-0.24130752194188096,4.00485126773934
Express-Ion Q,myoglobin,0.08002752947013773,0.27072,-1.3066702025642785,4.382370693855455
Express-Ion Q,myoglobin,0.10471642791321102,0.12428,-2.0852181944572905,4.651256010183445
Express-Ion Q,myoglobin,0.12875481221110638,0.05046,-2.9865743357692254,4.857909915242308
Fractogel EMD TMAE 650s,myoglobin,0.02991951650061335,4.3024,1.459173006532463,3.398510993236848
Fractogel EMD TMAE 650s,myoglobin,0.03493083694285315,2.3269,0.8445369096107647,3.553370019105786
Fractogel EMD TMAE 650s,myoglobin,0.039858105145681375,1.3383,0.29140015182019174,3.6853257759146385
Fractogel EMD TMAE 650s,myoglobin,0.04495392222971454,0.8884,-0.1183331869618647,3.8056380147241318
Fractogel EMD TMAE 650s,myoglobin,0.04982561036372696,0.6806,-0.3847805169153317,3.90852911617389
Fractogel EMD TMAE 650s,myoglobin,0.0549178977428744,0.5006,-0.6919478999844632,4.005839301632431
Macro-Prep 25Q,myoglobin,0.030050785828049403,7.794,2.0533542069165174,3.402888811323134
Macro-Prep 25Q,myoglobin,0.034905232294320916,3.2295,1.1723273264903904,3.5526367404445094
Macro-Prep 25Q,myoglobin,0.03984539984858748,1.5446,0.4347649771530264,3.6850069619000623
Macro-Prep 25Q,myoglobin,0.04496605063177301,0.7856,-0.24130752194188096,3.8059077746394445
Macro-Prep 25Q,myoglobin,0.049571209041788536,0.5323,-0.6305480388034254,3.9034102023299235
Macro-Prep 25Q,myoglobin,0.05496015388843089,0.35334,-1.0403245127976026,4.006608447918014
Macro-Prep 25Q,myoglobin,0.05996318260587999,0.1557,-1.8598242001421843,4.093730750642978
Poros QE/M,myoglobin,0.03002011347602894,0.9642,-0.03645653701061521,3.40186760621246
Poros QE/M,myoglobin,0.034804399276068494,0.9255,-0.07742114696858486,3.549743794769582
Poros QE/M,myoglobin,0.04013646397752358,0.7697,-0.26175445044186524,3.692285247248769
Q HyperD 20,myoglobin,0.04023011626503601,3.4342,1.2337840018975652,3.694615875965873
Q HyperD 20,myoglobin,0.04980079681274901,0.8527,-0.15934749323413314,3.9080309841586085
Q HyperD 20,myoglobin,0.05956280898207159,0.24436,-1.409112731200571,4.087031368927876
Q Sepharose FF,myoglobin,0.030032735681893265,10.172,2.3196388475598733,3.402287976144185
Q Sepharose FF,myoglobin,0.03489427036080675,3.7275,1.3157377676567565,3.552322642687726
Q Sepharose FF,myoglobin,0.04028684231729917,1.8197,0.59867165233706,3.6960249222748076
Q Sepharose FF,myoglobin,0.04468075599839149,1.0682,0.06597498892353292,3.7995428943441447
Q Sepharose FF,myoglobin,0.04981568197668626,0.7388,-0.3027280306570521,3.9083298335905283
Q Zirconia,myoglobin,0.07731799344343415,3.9638,1.3772031611081104,4.347926702676878
Q Zirconia,myoglobin,0.0868455105213336,1.2845,0.25036953756780117,4.464130799023255
Q Zirconia,myoglobin,0.0919971664872722,0.9067,-0.09794364433012667,4.521757777523351
Q Zirconia,myoglobin,0.09636046522832611,0.6144,-0.48710909714867473,4.568096005758325
Q Zirconia,myoglobin,0.10205331265052864,0.48046,-0.733011300655088,4.625495349782691
Q Zirconia,myoglobin,0.10685473099321473,0.38352,-0.9583635082960628,4.671470257745323
Q Zirconia,myoglobin,0.11646595700076867,0.25985,-1.347650737527686,4.757599015717077
Source 30Q,myoglobin,0.029763676409310078,3.5053,1.2542761088351786,3.3932887375941148
Source 30Q,myoglobin,0.04010266281681104,1.1129,0.10696922099724239,3.6914427365171014
Source 30Q,myoglobin,0.05012028869286286,0.6144,-0.48710909714867473,3.9144258900444564
Source 30Q,myoglobin,0.0598254293970195,0.43368,-0.8354483440300543,4.091430811320196
Source 30Q,myoglobin,0.06940733080227933,0.30613,-1.1837454306459672,4.239992493090944
TSK-Gel Q-5PW-HR,myoglobin,0.040052869788120324,1.9351,0.6601590047329646,3.690200326081352
TSK-Gel Q-5PW-HR,myoglobin,0.05008765339343852,0.8354,-0.17984462691906206,3.9137745384669524
TSK-Gel Q-5PW-HR,myoglobin,0.060149652335009504,0.4904,-0.7125338943601354,4.0968356624373925
TSK-Gel Q-5PW-HR,myoglobin,0.070194649763795,0.31894,-1.1427522816623108,4.251272093936362
TSK-Gel Q-5PW-HR,myoglobin,0.07960642583069305,0.22514,-1.491032848055479,4.377094816108372
TSK-Gel Q-5PW-HR,myoglobin,0.08976096654608776,0.16557,-1.7983612128626174,4.497150209832362
Poros 50 HQ,anti-FVII mAb,0.17816737042777986,8.226,2.1072998698082324,5.1827233918047915
Poros 50 HQ,anti-FVII mAb,0.18761726078799248,3.9786,1.38092999862074,5.2344040408043835
Poros 50 HQ,anti-FVII mAb,0.202077355211575,1.8478,0.6139957422545078,5.308650570687828
Poros 50 HQ,anti-FVII mAb,0.2264851765451951,0.6339,-0.4558640656920163,5.422679497064847
Poros 50 HQ,anti-FVII mAb,0.25232772324695313,0.28267,-1.263475139475044,5.530728731683163
Poros 50 HQ,anti-FVII mAb,0.27781636338380333,0.18491,-1.6878860587632423,5.626960332054916
Q Sepharose HP,anti-FVII mAb,0.18615387479290382,17.69,2.872999508171694,5.2265736155353615
Q Sepharose HP,anti-FVII mAb,0.19607074232383043,7.43,2.005525858729668,5.278475524334497
Q Sepharose HP,anti-FVII mAb,0.20639408887329466,4.5769,1.5210219130605296,5.329787394017525
Q Sepharose HP,anti-FVII mAb,0.21726377995524368,2.8196,1.0365950309175835,5.3811121911569515
Q Sepharose HP,anti-FVII mAb,0.22869165504150754,1.8085,0.5924977724100156,5.432374611694479
Q Sepharose XL,anti-FVII mAb,0.17794227552581943,19.185,2.9541287236989158,5.181459202898388
Q Sepharose XL,anti-FVII mAb,0.19833399444664818,6.322,1.844035613793426,5.2899524502164095
Q Sepharose XL,anti-FVII mAb,0.21739603034848584,1.8839,0.6333440961891916,5.381720714853821
Q Sepharose XL,anti-FVII mAb,0.23823704586063135,0.6465,-0.4361820807702249,5.473266169012578
Q Sepharose XL,anti-FVII mAb,0.2580511973575557,0.29423,-1.22339350456554,5.553158004605501
Q Sepharose XL,anti-FVII mAb,0.2778858444950814,0.15422,-1.8693751245773225,5.627210398045856
Q Sepharose XL,anti-FVII mAb,0.2975393495789818,0.08763,-2.4346318739143777,5.695546483731487
Q-Cellthru Bigbeads Plus,anti-FVII mAb,0.07802442164397456,0.09835,-2.319222734147069,4.357021875684316
Q-Cellthru Bigbeads Plus,anti-FVII mAb,0.08311930113291607,0.038102,-3.267488504788894,4.420276938826319
Separon HemaBio 1000Q,anti-FVII mAb,0.11546277480140403,13.961,2.6362677280065108,4.748948181921561
Separon HemaBio 1000Q,anti-FVII mAb,0.1271860095389507,6.614,1.889188614559601,4.845650656955578
Separon HemaBio 1000Q,anti-FVII mAb,0.13700319217437765,2.8338,1.0416185671479894,4.920004226099574
Separon HemaBio 1000Q,anti-FVII mAb,0.14760365466648956,1.0758,0.07306457085700523,4.994530672472906
Separon HemaBio 1000Q,anti-FVII mAb,0.168239707935867,0.38419,-0.9566180570967772,5.125389795395951
Toyopearl QAE 550c,anti-FVII mAb,0.23001196062195234,1.6682,0.5117452008253743,5.438131310275242
Toyopearl QAE 550c,anti-FVII mAb,0.2519970768339087,0.6864,-0.3762947308083845,5.529417487578702
Toyopearl QAE 550c,anti-FVII mAb,0.27759271596713303,0.31869,-1.1435364355221054,5.6261549889769125
Toyopearl QAE 550c,anti-FVII mAb,0.3023797284630038,0.14214,-1.9509427915833881,5.711683606552458
Toyopearl QAE 550c,anti-FVII mAb,0.3274608684262231,0.0745,-2.5969561535966235,5.7913685622148625
Toyopearl SuperQ 650c,anti-FVII mAb,0.09749724570280889,18.548,2.920361966529214,4.579824128402826
Toyopearl SuperQ 650c,anti-FVII mAb,0.10220559677847958,4.2549,1.4480712599865346,4.626986439268988
Toyopearl SuperQ 650c,anti-FVII mAb,0.1082344791756862,2.0578,0.7216374509595728,4.684299977163397
Toyopearl SuperQ 650c,anti-FVII mAb,0.11331573162302123,1.1233,0.11627078166538649,4.7301780076717375
Toyopearl SuperQ 650c,anti-FVII mAb,0.11862255489258729,0.6647,-0.40841946793460093,4.775946644642526
Toyopearl SuperQ 650c,anti-FVII mAb,0.12852974821022325,0.24235,-1.417372316690752,4.856160381123959
Toyopearl SuperQ 650c,anti-FVII mAb,0.1370614035087719,0.047304,-3.0511604204636082,4.9204290262101065
UNO Q-1,anti-FVII mAb,0.13591757957974285,13.658,2.6143254305388974,4.912048669522237
UNO Q-1,anti-FVII mAb,0.14709992497903826,10.932,2.3916942680658217,4.991112117607522
UNO Q-1,anti-FVII mAb,0.16783029001074112,2.007,0.6966410698142012,5.122953290321581
UNO Q-1,anti-FVII mAb,0.17564197140548707,1.4239,0.35339958580481184,5.168447669756506
UNO Q-1,anti-FVII mAb,0.20246603632240692,0.49831,-0.6965329056641537,5.310572150615052
UNO Q-1,anti-FVII mAb,0.22295052727799702,0.2947,-1.221797389238488,5.4069498960762825
Poros 50 HQ,aprotinin,0.030696503668232192,0.5893,-0.5288198871382693,3.4241487610792642
Poros 50 HQ,aprotinin,0.04050714951188884,0.38619,-0.9514258026424844,3.701478489690451
Poros 50 HQ,aprotinin,0.06088650754992694,0.20279,-1.5955843181455647,4.1090115992655045
Poros 50 HQ,aprotinin,0.08127570344121328,0.12011,-2.1193472894157384,4.397847121227424
Q Sepharose HP,aprotinin,0.040693415805322694,0.6156,-0.4851578770174128,3.7060663055367575
Q Sepharose HP,aprotinin,0.050487201494421166,0.34279,-1.0706372642125979,3.92171986840701
Q Sepharose HP,aprotinin,0.060875758664142354,0.21992,-1.5144914351251468,4.108835043980411
Q Sepharose HP,aprotinin,0.07098894702094884,0.11752,-2.1411467471165153,4.262524189161303
Q Sepharose HP,aprotinin,0.09115770282588878,0.0503,-2.9897502018764435,4.512591004694998
Q Sepharose HP,aprotinin,0.11128298149364017,0.019843,-3.919903978879022,4.712076339974099
Q Sepharose XL,aprotinin,0.061521803327099125,3.8327,1.3435695156598937,4.119391637626994
Q Sepharose XL,aprotinin,0.07097937339409167,1.5735,0.45330243752232446,4.262389319257317
Q Sepharose XL,aprotinin,0.08092775579240412,0.8238,-0.19382749698015672,4.393556852892107
Q Sepharose XL,aprotinin,0.09068156262468716,0.5281,-0.6384696192692495,4.507354057787801
Q Sepharose XL,aprotinin,0.10106318470307636,0.30586,-1.1846277980621598,4.615745912360276
Q Sepharose XL,aprotinin,0.11008972312434634,0.20002,-1.609337917433767,4.701295698085475
Q Sepharose XL,aprotinin,0.12060107576159579,0.13081,-2.034009390282001,4.7924882043328685
Q-Cellthru Bigbeads Plus,aprotinin,0.050841425593573644,2.3514,0.8550108954515037,3.9287114867143815
Q-Cellthru Bigbeads Plus,aprotinin,0.060938823515073216,1.7384,0.5529651499600828,4.109870467743922
Q-Cellthru Bigbeads Plus,aprotinin,0.08091334989359894,0.8933,-0.11283280827434368,4.393378827676793
Separon HemaBio 1000Q,aprotinin,0.0909314104371073,24.345,3.1923264896346644,4.510105490858119
Separon HemaBio 1000Q,aprotinin,0.10041269618130516,5.55,1.713797927758343,4.60928865525184
Separon HemaBio 1000Q,aprotinin,0.10999043083251758,3.7798,1.3296710981788,4.700393369576697
Separon HemaBio 1000Q,aprotinin,0.12125033343841694,1.8614,0.621328892769473,4.797857279821374
Separon HemaBio 1000Q,aprotinin,0.12832028743744386,1.6493,0.5003509554719695,4.854529384120713
Separon HemaBio 1000Q,aprotinin,0.15058653455208035,0.6503,-0.4303214841070309,5.014537899363523
Toyopearl QAE 550c,aprotinin,0.050571457469404266,2.0402,0.7130478422662815,3.9233873355071958
Toyopearl QAE 550c,aprotinin,0.07072035756212783,0.6449,-0.4386600129658053,4.258733474342169
Toyopearl QAE 550c,aprotinin,0.09086200786864988,0.21646,-1.5303495061151366,4.509341958575422
Toyopearl QAE 550c,aprotinin,0.11164078461143424,0.05929,-2.825314621262861,4.715286436692818
UNO Q-1,aprotinin,0.035785857429144,0.35563,-1.0338644144464249,3.577552771477606
UNO Q-1,aprotinin,0.040763084950269035,0.28496,-1.2554064594407857,3.7077768912183995
UNO Q-1,aprotinin,0.05082592121982211,0.21508,-1.5367452270406599,3.92840648467867
UNO Q-1,aprotinin,0.056006720806496775,0.12711,-2.0627024256755595,4.025471697935725
UNO Q-1,aprotinin,0.0819940964250574,0.029068,-3.5381173662277474,4.406647249856129
Poros 50 HQ,lipolase,0.15280473083446663,5.064,1.6221566848418751,5.029160837211691
Poros 50 HQ,lipolase,0.2034670790266135,0.8657,-0.14421685076040894,5.315504217970858
Poros 50 HQ,lipolase,0.22886961298148445,0.50339,-0.6863900613967855,5.433152465771677
