paper,plot_letter,protein,iex_type,resin,x,tis_M,kprime
1,c,lipolase,aex,Express-Ion Q,8.0195,0.12469605336991083,13.217
1,c,lipolase,aex,Express-Ion Q,6.6302,0.1508250128201261,3.536
1,c,lipolase,aex,Express-Ion Q,5.6743,0.17623319175933597,1.1825
1,c,lipolase,aex,Express-Ion Q,4.9999,0.2000040000800016,0.5582
1,c,lipolase,aex,Express-Ion Q,4.4263,0.2259223279036667,0.16871
1,c,lipolase,aex,Express-Ion Q,3.9688,0.2519653295706511,0.09559
1,c,lipolase,aex,Fractogel EMD TMAE 650s,8.6625,0.11544011544011544,4.7031
1,c,lipolase,aex,Fractogel EMD TMAE 650s,7.9462,0.12584631647831668,2.7753
1,c,lipolase,aex,Fractogel EMD TMAE 650s,7.3744,0.13560425254935995,1.8496
1,c,lipolase,aex,Fractogel EMD TMAE 650s,6.4263,0.15561053794562968,0.986
1,c,lipolase,aex,Fractogel EMD TMAE 650s,5.6996,0.17545090883570777,0.6841
1,c,lipolase,aex,Fractogel EMD TMAE 650s,5.1145,0.19552253397204028,0.5471
1,c,lipolase,aex,Fractogel EMD TMAE 650s,4.668,0.21422450728363324,0.42873
1,c,lipolase,aex,Macro-Prep 25Q,5.7584,0.17365934981939427,5.299
1,c,lipolase,aex,Macro-Prep 25Q,5.134,0.19477989871445264,3.0024
1,c,lipolase,aex,Macro-Prep 25Q,4.682,0.2135839384878257,1.6337
1,c,lipolase,aex,Macro-Prep 25Q,4.2709,0.23414268655318551,1.0039
1,c,lipolase,aex,Macro-Prep 25Q,3.9409,0.25374914359664036,0.6556
1,c,lipolase,aex,Macro-Prep 25Q,3.6575,0.27341079972658916,0.44587
1,c,lipolase,aex,Poros QE/M,3.6756,0.27206442485580584,4.0618
1,c,lipolase,aex,Poros QE/M,3.3728,0.29648956356736245,2.7622
1,c,lipolase,aex,Poros QE/M,3.0954,0.32306002455256183,2.0371
1,c,lipolase,aex,Poros QE/M,2.9062,0.34409194136673316,1.5333
1,c,lipolase,aex,Poros QE/M,2.6979,0.37065866043960116,1.1776
1,c,lipolase,aex,Poros QE/M,2.5191,0.3969671708149736,0.9419
1,c,lipolase,aex,Poros QE/M,2.379,0.4203446826397646,0.7689
1,c,lipolase,aex,Q HyperD 20,6.9467,0.14395324398635323,6.114
1,c,lipolase,aex,Q HyperD 20,6.7086,0.1490623975196017,4.2439
1,c,lipolase,aex,Q HyperD 20,6.5174,0.15343541903212937,3.327
1,c,lipolase,aex,Q HyperD 20,6.0467,0.16537946317826252,1.9634
1,c,lipolase,aex,Q HyperD 20,5.4158,0.18464492780383324,0.6839
1,c,lipolase,aex,Q Sepharose FF,6.8627,0.14571524327159863,4.2444
1,c,lipolase,aex,Q Sepharose FF,6.3673,0.15705243980965244,2.556
1,c,lipolase,aex,Q Sepharose FF,6.0046,0.16653898677680445,1.0907
1,c,lipolase,aex,Q Sepharose FF,5.6981,0.17549709552306908,0.6058
1,c,lipolase,aex,Q Sepharose FF,5.0616,0.19756598703967124,0.06645
1,c,lipolase,aex,Q Zirconia,7.3948,0.13523016173527344,6.369
1,c,lipolase,aex,Q Zirconia,6.8624,0.14572161342970388,4.1592
1,c,lipolase,aex,Q Zirconia,6.4386,0.15531326685925512,2.3098
1,c,lipolase,aex,Q Zirconia,6.0445,0.16543965588551576,1.6695
1,c,lipolase,aex,Q Zirconia,5.3876,0.18561140396465958,0.8376
1,c,lipolase,aex,Source 30Q,8.6807,0.11519808310389715,11.949
