data_set,iex_type,resin,protein,pH,tis_mM,kprime
DePhillips,cex,CM Sepharose FF,cytochrome c,7,360,0.232737340345058
DePhillips,cex,CM Sepharose FF,cytochrome c,7,410,0.162228094479765
DePhillips,cex,CM Sepharose FF,cytochrome c,7,460,0.109725120641861
DePhillips,cex,CM Sepharose FF,cytochrome c,7,510,0.056615593845035
DePhillips,cex,CM Spherodex M,cytochrome c,7,95,179.380859963614
DePhillips,cex,CM Spherodex M,cytochrome c,7,110,40.4749295704954
DePhillips,cex,CM Spherodex M,cytochrome c,7,135,17.4359695428246
DePhillips,cex,CM Spherodex M,cytochrome c,7,160,8.72983633486105
DePhillips,cex,CM Spherodex M,cytochrome c,7,185,4.64190343591886
DePhillips,cex,CM Spherodex M,cytochrome c,7,210,2.82596059459471
DePhillips,cex,CM Spherodex M,cytochrome c,7,260,1.25454458931467
DePhillips,cex,CM Spherodex M,cytochrome c,7,310,0.76375857932156
DePhillips,cex,CM Spherodex M,cytochrome c,7,460,0.291713213676803
DePhillips,cex,CM Spherodex M,cytochrome c,7,510,0.172332068834837
DePhillips,cex,CM Toyopearl 650m,cytochrome c,7,60,54.7441731916521
DePhillips,cex,CM Toyopearl 650m,cytochrome c,7,85,17.721394799292
DePhillips,cex,CM Toyopearl 650m,cytochrome c,7,135,2.00206374408876
DePhillips,cex,CM Toyopearl 650m,cytochrome c,7,185,0.509492623889216
DePhillips,cex,CM Toyopearl 650m,cytochrome c,7,210,0.314874797313089
DePhillips,cex,CM Toyopearl 650m,cytochrome c,7,260,0.177806609598998
DePhillips,cex,CM Toyopearl 650m,cytochrome c,7,310,0.120264624865655
DePhillips,cex,CM Toyopearl 650m,cytochrome c,7,360,0.069987084300354
DePhillips,cex,CM Toyopearl 650m,cytochrome c,7,410,0.050272201135901
DePhillips,cex,CM Toyopearl 650m,cytochrome c,7,460,0.032503333275674
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,85,60.384581988946
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,110,25.2415525733077
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,135,9.78692058406696
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,160,4.41058366058428
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,185,2.24174424881634
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,210,1.30456602593659
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,260,0.587903525104039
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,310,0.337020302640882
DePhillips,cex,Fractogel EMD COO- (M),cytochrome c,7,360,0.253259686097282
