paper,plot_letter,protein,iex_type,resin,x,tis_M,kprime,ln(kprime),ln(tis_mM)
1,c,lipolase,aex,Q HyperD 20,6.7086,0.1490623975196017,4.2439,1.4454826577974125,5.004364993582897
1,c,lipolase,aex,Q HyperD 20,6.5174,0.15343541903212937,3.327,1.2020709970363397,5.03327975558081
1,c,lipolase,aex,Q HyperD 20,6.0467,0.16537946317826252,1.9634,0.674677664276284,5.108242610299289
1,c,lipolase,aex,Q HyperD 20,5.4158,0.18464492780383324,0.6839,-0.3799435708780868,5.218434671675865
1,c,lipolase,aex,Q Sepharose FF,6.8627,0.14571524327159863,4.2444,1.4456004670172982,4.981654328673167
1,c,lipolase,aex,Q Sepharose FF,6.3673,0.15705243980965244,2.556,0.9384435365152884,5.056579761105325
1,c,lipolase,aex,Q Sepharose FF,6.0046,0.16653898677680445,1.0907,0.08681969195256017,5.115229436826181
1,c,lipolase,aex,Q Sepharose FF,5.6981,0.17549709552306908,0.6058,-0.5012053803890001,5.16762249304287
1,c,lipolase,aex,Q Sepharose FF,5.0616,0.19756598703967124,0.06645,-2.711305493822883,5.286072640131599
1,c,lipolase,aex,Q Zirconia,7.3948,0.13523016173527344,6.369,1.8514424713892288,4.9069782284859835
1,c,lipolase,aex,Q Zirconia,6.8624,0.14572161342970388,4.1592,1.425322748087369,4.981698044201658
1,c,lipolase,aex,Q Zirconia,6.4386,0.15531326685925512,2.3098,0.83716094069885,5.045444153803137
1,c,lipolase,aex,Q Zirconia,6.0445,0.16543965588551576,1.6695,0.5125241804015721,5.108606511322227
1,c,lipolase,aex,Q Zirconia,5.3876,0.18561140396465958,0.8376,-0.17721461942580993,5.223655262239614
1,c,lipolase,aex,Source 30Q,8.6807,0.11519808310389715,11.949,2.480647592867617,4.746653108400234
1,c,lipolase,aex,Source 30Q,8.0034,0.12494689756853339,5.418,1.6897267436629033,4.827888827589221
1,c,lipolase,aex,Source 30Q,7.342,0.13620266957232363,3.2624,1.1824631208380536,4.914143993907494
1,c,lipolase,aex,Source 30Q,6.6952,0.14936073604970726,1.7395,0.5535977156098597,5.00636442724561
1,c,lipolase,aex,Source 30Q,6.3957,0.15635505104992417,1.4788,0.3912309480803397,5.052129389425668
1,c,lipolase,aex,Source 30Q,5.7027,0.17535553334385467,0.8725,-0.13639262490555476,5.1668155320840565
1,c,lipolase,aex,TSK-Gel Q-5PW-HR,8.6088,0.11616020815909302,3.6875,1.3049487216659381,4.754970343078091
1,c,lipolase,aex,TSK-Gel Q-5PW-HR,7.3263,0.13649454704284564,1.2584,0.229841072761931,4.916284665422994
1,c,lipolase,aex,TSK-Gel Q-5PW-HR,6.419,0.15578750584203147,0.594,-0.5208759596194922,5.0484929366524955
1,c,lipolase,aex,TSK-Gel Q-5PW-HR,5.7232,0.17472742521666199,0.34343,-1.0687719726572267,5.163227189459521
1,c,lipolase,aex,TSK-Gel Q-5PW-HR,4.987,0.20052135552436334,0.1758,-1.7384082937310603,5.300920752418151
2,a,anti-FVII mAb,aex,Poros 50 HQ,5.6127,0.17816737042777986,8.226,2.1072998698082324,5.1827233918047915
2,a,anti-FVII mAb,aex,Poros 50 HQ,5.33,0.18761726078799248,3.9786,1.38092999862074,5.2344040408043835
2,a,anti-FVII mAb,aex,Poros 50 HQ,4.9486,0.202077355211575,1.8478,0.6139957422545078,5.308650570687828
2,a,anti-FVII mAb,aex,Poros 50 HQ,4.4153,0.2264851765451951,0.6339,-0.4558640656920163,5.422679497064847
2,a,anti-FVII mAb,aex,Poros 50 HQ,3.9631,0.25232772324695313,0.28267,-1.263475139475044,5.530728731683163
2,a,anti-FVII mAb,aex,Poros 50 HQ,3.5995,0.27781636338380333,0.18491,-1.6878860587632423,5.626960332054916
2,a,anti-FVII mAb,aex,Q Sepharose HP,5.3719,0.18615387479290382,17.69,2.872999508171694,5.2265736155353615
2,a,anti-FVII mAb,aex,Q Sepharose HP,5.1002,0.19607074232383043,7.43,2.005525858729668,5.278475524334497
2,a,anti-FVII mAb,aex,Q Sepharose HP,4.8451,0.20639408887329466,4.5769,1.5210219130605296,5.329787394017525
