,c_load,keq,fVolum,Dp,d_part,l_col,file_name
25,2e-05,562.341325190349,5.443333333333334e-09,5e-12,7e-05,0.2,cload_2.0e-05_keq_5.62e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_7.0e-05_lcol_2.0e-01.h5
26,2e-05,562.341325190349,5.443333333333334e-09,5e-12,5e-06,0.2,cload_2.0e-05_keq_5.62e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_5.0e-06_lcol_2.0e-01.h5
27,2e-05,421.6965034285823,5.443333333333334e-09,5e-12,0.0002,0.2,cload_2.0e-05_keq_4.22e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_2.0e-04_lcol_2.0e-01.h5
28,2e-05,421.6965034285823,5.443333333333334e-09,5e-12,0.000135,0.2,cload_2.0e-05_keq_4.22e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_1.4e-04_lcol_2.0e-01.h5
29,2e-05,421.6965034285823,5.443333333333334e-09,5e-12,7e-05,0.2,cload_2.0e-05_keq_4.22e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_7.0e-05_lcol_2.0e-01.h5
30,2e-05,421.6965034285823,5.443333333333334e-09,5e-12,5e-06,0.2,cload_2.0e-05_keq_4.22e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_5.0e-06_lcol_2.0e-01.h5
31,2e-05,316.22776601683796,5.443333333333334e-09,5e-12,0.0002,0.2,cload_2.0e-05_keq_3.16e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_2.0e-04_lcol_2.0e-01.h5
32,2e-05,316.22776601683796,5.443333333333334e-09,5e-12,0.000135,0.2,cload_2.0e-05_keq_3.16e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_1.4e-04_lcol_2.0e-01.h5
33,2e-05,316.22776601683796,5.443333333333334e-09,5e-12,7e-05,0.2,cload_2.0e-05_keq_3.16e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_7.0e-05_lcol_2.0e-01.h5
34,2e-05,316.22776601683796,5.443333333333334e-09,5e-12,5e-06,0.2,cload_2.0e-05_keq_3.16e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_5.0e-06_lcol_2.0e-01.h5
35,2e-05,237.13737056616552,5.443333333333334e-09,5e-12,0.0002,0.2,cload_2.0e-05_keq_2.37e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_2.0e-04_lcol_2.0e-01.h5
36,2e-05,237.13737056616552,5.443333333333334e-09,5e-12,0.000135,0.2,cload_2.0e-05_keq_2.37e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_1.4e-04_lcol_2.0e-01.h5
